Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
3,2023-08-08 13:38:50.614081,955.25,30.3468706082267,89.0894602738775,224.42
4,2023-08-08 13:38:51.249745,905.625,30.4702865404928,89.3276530231511,218.07
5,2023-08-08 13:38:52.234561,959.75,32.6286294473814,93.4932548334462,216.94
6,2023-08-08 13:38:53.249173,838.5,28.4121171665224,85.3553861313882,217.3
7,2023-08-08 13:38:56.301157,800.916666666667,29.9963479969088,88.4129516340341,206.69
8,2023-08-08 13:38:57.623202,897.666666666667,39.5149523096629,106.783857957649,190.65
9,2023-08-08 13:39:08.033756,936,35.3938045243851,98.8300427320633,205.7
10,2023-08-08 13:39:08.398993,953.5,38.5707831919894,104.96161156054,198.88
11,2023-08-08 13:39:10.862038,879.25,38.7042575027156,105.219216980241,190.65
12,2023-08-08 13:39:11.255597,862.5,37.5286588419087,102.950311564884,191.76
13,2023-08-08 13:39:12.372879,913.833333333333,38.7693506469631,105.344846748639,194.2
14,2023-08-08 13:39:13.462527,862.75,32.8246941210642,93.8716596536539,205.07
15,2023-08-08 13:39:14.375438,821,29.4967890232442,87.4488028148613,211.03
16,2023-08-08 13:39:15.318379,865.75,31.9221581629969,92.1297652545841,208.31
17,2023-08-08 13:56:18.864822,833,181.554103122731,380.91941902687,85.68
18,2023-08-08 13:56:19.889463,922.5,199.150289400046,414.88005854209,86.09
19,2023-08-08 13:56:21.320269,980,209.465757585279,434.788912139588,86.52
20,2023-08-08 13:56:22.182411,838.5,180.764226037473,379.394956252322,86.15
21,2023-08-08 13:56:23.085912,903.5,195.048549022159,406.963699612767,86.09
22,2023-08-08 13:56:24.006235,880.5,191.906828090713,400.900178215077,85.68
32,2023-08-08 13:56:49.927502,899,66.5648572354112,158.990174464344,147
33,2023-08-08 13:56:50.992881,792.166666666667,171.05352561002,360.653304427339,86.08
34,2023-08-08 13:56:51.849189,786.5,354.025680478207,713.789563322939,59.62
35,2023-08-08 13:56:52.839357,606.833333333333,12.5631868605835,54.7669506409261,278
36,2023-08-08 13:57:08.264015,864.571428571429,183.265720031997,384.222839661754,86.88
37,2023-08-08 13:57:08.928106,827.55,175.256764767111,368.765556000524,86.92
38,2023-08-08 13:57:09.953584,850.5,180.199983844505,378.305968819894,86.9
39,2023-08-08 13:57:11.232163,876.875,185.916539852284,389.338921914907,86.87
40,2023-08-08 13:57:11.897618,811.166666666667,171.945357341102,362.374539668327,86.88
41,2023-08-08 13:57:12.926375,828.375,175.633486757104,369.49262944121,86.87
42,2023-08-08 13:57:14.230017,841.611111111111,178.563139697527,375.146859616227,86.84
43,2023-08-08 13:57:14.930940,827.363636363636,175.41905570615,369.07877751287,86.87
44,2023-08-08 13:57:16.231830,811.458333333333,172.165678210245,362.799758945773,86.84
45,2023-08-08 13:57:17.096006,774.85,163.945144126158,346.934128163484,86.96
46,2023-08-08 13:57:18.054505,821.909090909091,174.062145133714,366.459940108067,86.92
47,2023-08-08 13:57:18.991808,793,168.017151309456,354.79310202725,86.9
48,2023-08-08 13:57:20.361175,801.5,169.857182083919,358.344361421964,86.89
49,2023-08-08 13:57:20.935263,836.5,177.315337681322,372.738601724951,86.88
50,2023-08-08 13:57:22.196722,880.833333333333,186.498079813035,390.461294039158,86.93
51,2023-08-08 13:57:23.059089,868.5625,184.154109360455,385.937431065678,86.87
52,2023-08-08 13:57:24.024702,759.571428571429,160.971506486088,341.19500751815,86.89
53,2023-08-08 13:57:25.194798,916.75,194.013400918812,404.965863773308,86.95
54,2023-08-08 13:57:26.210929,776,165.556379307586,350.043812063641,86.6
55,2023-08-08 13:57:27.071163,828,179.123850730124,376.22903190914,86
56,2023-08-08 13:57:31.464115,855.785714285714,184.747937847616,387.083520045898,86.09
57,2023-08-08 13:57:32.049874,753.944444444444,124.560649590258,270.922053709199,98.41
58,2023-08-08 13:57:32.664275,794.25,106.17996116427,235.447325047041,109.4
59,2023-08-08 13:57:33.239300,677.5,124.982750016894,271.736707532605,93.13
60,2023-08-08 13:57:34.422874,797.2,155.736393882971,331.091240194133,90.5
61,2023-08-08 13:57:35.614974,808.3,174.011227766082,366.361669588539,86.21
62,2023-08-08 13:57:36.134377,808.916666666667,173.780953109846,365.917239502002,86.3
63,2023-08-08 13:57:37.496860,848.5,182.242471326041,382.24796965926,86.31
64,2023-08-08 13:57:38.021708,833.3125,178.939004037824,375.872277793,86.32
65,2023-08-08 13:57:39.010469,695.375,149.319384903985,318.70641286469,86.32
